Year	Title	Prize	
1939	Pacific Express (Union Pacific)	2 h 15 min	Grand prix
1946	Tourments (Hets)	1 h 41 min	Grand prix
1946	Le Poison (The Lost Weekend)	1 h 41 min	Grand prix
1946	La terre sera rouge (De røde enge)	1 h 25 min	Grand prix
1946	La Ville basse (Neecha Nagar)	2 h 02 min	Grand prix
1946	Brève Rencontre (Brief Encounter)	1 h 26 min	Grand prix
1946	María Candelaria	1 h 40 min	Grand prix
1946	Le Tournant décisif (??????? ???????)	1 h 50 min	Grand prix
1946	La Symphonie pastorale	1 h 50 min	Grand prix
1946	La Dernière Chance (Die letzte Chance)	1 h 52 min	Grand prix
1946	Les Hommes sans ailes (Muži bez krídel)	1 h 27 min	Grand prix
1946	Rome, ville ouverte (Roma città aperta)	1 h 43 min	Grand prix
1947	Ziegfeld Follies	1 h 50 min	Grand prix (pour la comédie musicale)
1947	Dumbo	1 h 04 min	Grand prix (pour le dessin animé)
1947	Les Maudits	1 h 45 min	Grand prix (pour le film d'aventures et policier)
1947	Antoine et Antoinette	1 h 28 min	Grand prix (pour le film psychologique et d'amour)
1947	Feux croisés (Crossfire)	1 h 26 min	Grand prix (pour le film social)
1949	Le Troisième Homme (The Third Man)	1 h 44 min	Grand prix
1951	Mademoiselle Julie (Fröken Julie)	1 h 30 min	Grand prix
1951	Miracle à Milan (Miracolo a Milano)	1 h 41 min	Grand prix
1952	Othello (The Tragedy of Othello: The Moor of Venice)	1 h 33 min	Grand prix
1952	Deux Sous d'espoir (Due soldi di speranza)	1 h 50 min	Grand prix
1953	Le Salaire de la peur	2 h 31 min	Grand prix
1954	La Porte de l'enfer (???)	1 h 29 min	Grand prix
