Year	Movie	Duration	Prize
2025	Anora	2 h 18 min	Oscar
2024	Oppenheimer	3 h 00 min	Oscar
2023	Everything Everywhere All at Once	2 h 19 min	Oscar
2022	CODA	1 h 51 min	Oscar
2021	Nomadland	1 h 47 min	Oscar
2020	Parasite	2 h 12 min	Oscar
2019	Green Book	2 h 10 min	Oscar
2018	The Shape of Water	2 h 03 min	Oscar
2017	Moonlight	1 h 51 min	Oscar
2016	Spotlight	2 h 09 min	Oscar
2015	Birdman	1 h 59 min	Oscar
2014	12 Years a Slave	2 h 14 min	Oscar
2013	Argo	2 h 00 min	Oscar
2012	The Artist	1 h 40 min	Oscar
2011	The King's Speech	1 h 58 min	Oscar
2010	The Hurt Locker	2 h 11 min	Oscar
2009	Slumdog Millionaire	2 h 00 min	Oscar
2008	No Country for Old Men	2 h 02 min	Oscar
2007	The Departed	2 h 31 min	Oscar
2006	Crash	1 h 52 min	Oscar
2005	Million Dollar Baby	2 h 12 min	Oscar
2004	The Lord of the Rings: The Return of the King	3 h 21 min	Oscar
2003	Chicago	1 h 53 min	Oscar
2002	A Beautiful Mind	2 h 15 min	Oscar
2001	Gladiator	2 h 35 min	Oscar
2000	American Beauty	2 h 02 min	Oscar
1999	Shakespeare in Love	2 h 03 min	Oscar
1998	Titanic	3 h 14 min	Oscar
1997	The English Patient	2 h 42 min	Oscar
1996	Braveheart	2 h 58 min	Oscar
1995	Forrest Gump	2 h 22 min	Oscar
1994	Schindler’s List	3 h 15 min	Oscar
1993	Unforgiven	2 h 11 min	Oscar
1992	The Silence of the Lambs	1 h 58 min	Oscar
1991	Dances With Wolves	3 h 01 min	Oscar
1990	Driving Miss Daisy	1 h 39 min	Oscar
1989	Rain Man	2 h 13 min	Oscar
1988	The Last Emperor	2 h 43 min	Oscar
1987	Platoon	2 h 00 min	Oscar
1986	Out of Africa	2 h 41 min	Oscar
1985	Amadeus	2 h 40 min	Oscar
1984	Terms of Endearment	2 h 12 min	Oscar
1983	Gandhi	3 h 11 min	Oscar
1982	Chariots of Fire	2 h 05 min	Oscar
1981	Ordinary People	2 h 04 min	Oscar
1980	Kramer vs. Kramer	1 h 45 min	Oscar
1979	The Deer Hunter	3 h 03 min	Oscar
1978	Annie Hall	1 h 33 min	Oscar
1977	Rocky	2 h 00 min	Oscar
1976	One Flew over the Cuckoo's Nest	2 h 13 min	Oscar
1975	The Godfather Part II	3 h 22 min	Oscar
1974	The Sting	2 h 09 min	Oscar
1973	The Godfather	2 h 55 min	Oscar
1972	The French Connection	1 h 44 min	Oscar
1971	Patton	2 h 52 min	Oscar
1970	Midnight Cowboy	1 h 53 min	Oscar
1969	Oliver!	2 h 33 min	Oscar
1968	In the Heat of the Night	1 h 50 min	Oscar
1967	A Man for All Seasons	2 h 00 min	Oscar
1966	The Sound of Music	2 h 54 min	Oscar
1965	My Fair Lady	2 h 50 min	Oscar
1964	Tom Jones	2 h 09 min	Oscar
1963	Lawrence of Arabia	3 h 36 min	Oscar
1962	West Side Story	2 h 33 min	Oscar
1961	The Apartment	2 h 05 min	Oscar
1960	Ben-Hur	3 h 32 min	Oscar
1959	Gigi	1 h 55 min	Oscar
1958	The Bridge on the River Kwai	2 h 41 min	Oscar
1957	Around the World in 80 Days	3 h 01 min	Oscar
1956	Marty	1 h 30 min	Oscar
1955	On the Waterfront	1 h 48 min	Oscar
1954	From Here to Eternity	1 h 58 min	Oscar
1953	The Greatest Show on Earth	2 h 32 min	Oscar
1952	An American in Paris	1 h 53 min	Oscar
1951	All About Eve	2 h 18 min	Oscar
1950	All the King's Men	1 h 50 min	Oscar
1949	Hamlet	2 h 35 min	Oscar
1948	Gentleman's Agreement	1 h 58 min	Oscar
1947	The Best Years of Our Lives	2 h 50 min	Oscar
1946	The Lost Weekend	1 h 41 min	Oscar
1945	Going My Way	2 h 06 min	Oscar
1944	Casablanca	1 h 42 min	Oscar
1943	Mrs. Miniver	2 h 14 min	Oscar
1942	How Green Was My Valley	1 h 58 min	Oscar
1941	Rebecca	2 h 10 min	Oscar
1940	Gone with the Wind	3 h 58 min	Oscar
1939	You Can't Take It with You	2 h 06 min	Oscar
1938	The Life of Emile Zola	1 h 56 min	Oscar
1937	The Great Ziegfeld	2 h 59 min	Oscar
1936	Mutiny on the Bounty	2 h 12 min	Oscar
1935	It Happened One Night	1 h 45 min	Oscar
1934	Cavalcade	1 h 50 min	Oscar
1933	Grand Hotel	1 h 52 min	Oscar
1932	Cimarron	2 h 03 min	Oscar
1931	All Quiet on the Western Front	2 h 32 min	Oscar
1930	The Broadway Melody	1 h 40 min	Oscar
1929	Wings	2 h 24 min	Oscar
